intersection,camera,date,time,direction,car,motorbike,bus,truck
Jehangir Chowk,j3,2023-01-11,10:10:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:15:00,DOWN,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:15:00,LEFT,31.0,41.0,5.0,15.0
Jehangir Chowk,j3,2023-01-11,10:15:00,RIGHT,6.0,9.0,5.0,2.0
Jehangir Chowk,j3,2023-01-11,10:15:00,UP,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:20:00,DOWN,0.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,10:20:00,LEFT,27.0,41.0,4.0,14.0
Jehangir Chowk,j3,2023-01-11,10:20:00,RIGHT,4.0,7.0,1.0,2.0
Jehangir Chowk,j3,2023-01-11,10:20:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:25:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:25:00,LEFT,28.0,36.0,9.0,13.0
Jehangir Chowk,j3,2023-01-11,10:25:00,RIGHT,6.0,5.0,5.0,2.0
Jehangir Chowk,j3,2023-01-11,10:25:00,UP,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:30:00,DOWN,1.0,1.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:30:00,LEFT,39.0,45.0,6.0,13.0
Jehangir Chowk,j3,2023-01-11,10:30:00,RIGHT,7.0,0.0,2.0,2.0
Jehangir Chowk,j3,2023-01-11,10:30:00,UP,3.0,0.0,1.0,1.0
Jehangir Chowk,j3,2023-01-11,10:35:00,DOWN,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:35:00,LEFT,38.0,47.0,5.0,14.0
Jehangir Chowk,j3,2023-01-11,10:35:00,RIGHT,1.0,4.0,3.0,5.0
Jehangir Chowk,j3,2023-01-11,10:35:00,UP,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:40:00,DOWN,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:40:00,LEFT,42.0,57.0,5.0,14.0
Jehangir Chowk,j3,2023-01-11,10:40:00,RIGHT,5.0,4.0,3.0,2.0
Jehangir Chowk,j3,2023-01-11,10:40:00,UP,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:45:00,DOWN,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:45:00,LEFT,43.0,56.0,6.0,17.0
Jehangir Chowk,j3,2023-01-11,10:45:00,RIGHT,2.0,1.0,4.0,2.0
Jehangir Chowk,j3,2023-01-11,10:45:00,UP,3.0,0.0,4.0,0.0
Jehangir Chowk,j3,2023-01-11,10:50:00,DOWN,2.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,10:50:00,LEFT,37.0,62.0,10.0,7.0
Jehangir Chowk,j3,2023-01-11,10:50:00,RIGHT,9.0,1.0,0.0,5.0
Jehangir Chowk,j3,2023-01-11,10:50:00,UP,5.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:55:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,10:55:00,LEFT,37.0,62.0,5.0,17.0
Jehangir Chowk,j3,2023-01-11,10:55:00,RIGHT,7.0,2.0,2.0,2.0
Jehangir Chowk,j3,2023-01-11,10:55:00,UP,0.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,11:00:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:00:00,LEFT,41.0,50.0,6.0,8.0
Jehangir Chowk,j3,2023-01-11,11:00:00,RIGHT,5.0,0.0,3.0,2.0
Jehangir Chowk,j3,2023-01-11,11:00:00,UP,4.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:05:00,DOWN,1.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:05:00,LEFT,40.0,40.0,10.0,10.0
Jehangir Chowk,j3,2023-01-11,11:05:00,RIGHT,3.0,6.0,1.0,2.0
Jehangir Chowk,j3,2023-01-11,11:05:00,UP,8.0,0.0,2.0,0.0
Jehangir Chowk,j3,2023-01-11,11:10:00,DOWN,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:10:00,LEFT,43.0,58.0,6.0,16.0
Jehangir Chowk,j3,2023-01-11,11:10:00,RIGHT,5.0,3.0,2.0,2.0
Jehangir Chowk,j3,2023-01-11,11:10:00,UP,0.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,11:15:00,DOWN,0.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:15:00,LEFT,41.0,67.0,4.0,13.0
Jehangir Chowk,j3,2023-01-11,11:15:00,RIGHT,6.0,3.0,1.0,1.0
Jehangir Chowk,j3,2023-01-11,11:15:00,UP,5.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:20:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:20:00,LEFT,35.0,34.0,5.0,18.0
Jehangir Chowk,j3,2023-01-11,11:20:00,RIGHT,5.0,6.0,1.0,4.0
Jehangir Chowk,j3,2023-01-11,11:20:00,UP,3.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,11:25:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:25:00,LEFT,49.0,56.0,6.0,18.0
Jehangir Chowk,j3,2023-01-11,11:25:00,RIGHT,3.0,4.0,5.0,4.0
Jehangir Chowk,j3,2023-01-11,11:25:00,UP,7.0,0.0,1.0,0.0
Jehangir Chowk,j3,2023-01-11,11:30:00,DOWN,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:30:00,LEFT,49.0,50.0,7.0,9.0
Jehangir Chowk,j3,2023-01-11,11:30:00,RIGHT,14.0,5.0,2.0,4.0
Jehangir Chowk,j3,2023-01-11,11:30:00,UP,3.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:35:00,DOWN,2.0,0.0,0.0,0.0
Jehangir Chowk,j3,2023-01-11,11:35:00,LEFT,39.0,62.0,5.0,21.0
Jehangir Chowk,j3,2023-01-11,11:35:00,RIGHT,8.0,4.0,1.0,2.0
Jehangir Chowk,j3,2023-01-11,11:35:00,UP,3.0,0.0,0.0,1.0
Jehangir Chowk,j3,2023-01-11,11:40:00,DOWN,0.0,0.0,0.0,0.0
